"","Site","Albert's Lyrebird","Australasian Figbird","Australian Brush-turkey","Australian King-Parrot","Australian Logrunner","Australian Magpie","Australian Owlet-nightjar","Bar-shouldered Dove","Barred Cuckoo-shrike","Bell Miner","Black-faced Cuckoo-shrike","Black-faced Monarch","Brown-capped Emerald Dove","Brown Cuckoo-Dove","Brown Gerygone","Brown Honeyeater","Brown Thornbill","Brush Cuckoo","Cicadabird","Collared Sparrowhawk","Crimson Rosella","Dusky Woodswallow","Eastern Koel","Eastern Rosella","Eastern Spinebill","Eastern Whipbird","Eastern Yellow Robin","Fairy Martin","Fan-tailed Cuckoo","Glossy Black-Cockatoo","Golden Whistler","Green Catbird","Grey Butcherbird","Grey Fantail","Grey Shrike-thrush","Large-billed Scrubwren","Laughing Kookaburra","Leaden Flycatcher","Lewin's Honeyeater","Little Lorikeet","Little Shrike-thrush","Mistletoebird","Musk Lorikeet","Noisy Friarbird","Noisy Miner","Noisy Pitta","Olive-backed Oriole","Pacific Baza","Painted Button-quail","Pale-yellow Robin","Paradise Riflebird","Peaceful Dove","Pied Currawong","Rainbow Bee-eater","Rainbow Lorikeet","Red-browed Finch","Red Wattlebird","Regent Bowerbird","Restless Flycatcher","Rose-crowned Fruit-Dove","Rufous Fantail","Rufous Whistler","Russet-tailed Thrush","Sacred Kingfisher","Satin Bowerbird","Scaly-breasted Lorikeet","Scarlet Honeyeater","Shining Bronze-Cuckoo","Silvereye","Spangled Drongo","Spectacled Monarch","Spotted Pardalote","Spotted Quail-thrush","Striated Thornbill","Sulphur-crested Cockatoo","Superb Fairy-wren","Superb Fruit-Dove","Superb Lyrebird","Topknot Pigeon","Torresian Crow","Varied Sittella","Variegated Fairy-wren","Wedge-tailed Eagle","Welcome Swallow","White-bellied Cuckoo-shrike","White-browed Scrubwren","White-cheeked Honeyeater","White-headed Pigeon","White-naped Honeyeater","White-throated Gerygone","White-throated Needletail","White-throated Treecreeper","Willie Wagtail","Wompoo Fruit-Dove","Wonga Pigeon","Yellow-faced Honeyeater","Yellow-tailed Black-Cockatoo","Yellow-throated Scrubwren","Yellow-tufted Honeyeater"
"11","BR-BR-05",0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0
"12","BR-UR-01",1,0,0,0,2,0,0,0,0,0,0,1,3,6,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
"13","BR-UR-02",0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
"14","BR-UR-03",0,0,0,0,1,0,0,0,0,0,0,1,1,3,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0
"15","BR-UR-04",0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"16","BR-UR-05",0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17","BY-BS-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"18","BY-BS-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"19","BY-BS-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20","BY-US-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0
